                                                                  min                  max                   mean  missing_ratio
Zobowiazania_dostaw_uslug_12m_pozostale                      -5306.21          22588715.67          226615.807583       0.000000
Zobowiazania_dostaw_uslug_pow12m_pozostale                        0.0           6674319.52            5111.950306       0.000000
Rozliczenia_miedzyokresowe_b                                -27537.65         229701440.75          395814.794772       0.000000
Ujemna_wartosc_firmy                                              0.0           11166994.0           10094.238583       0.000000
Inne_rozliczenia_miedzyokresowe                             -18270.33         229701440.75          348682.101033       0.000000
Kapital_zapasowy                                            -543497.3          195464900.0         1197632.204722       0.000000
Kapital_podstawowy                                                0.0          269015300.0            1432216.019       0.000000
Kapital_wlasny                                             -178121.13         273153684.12         3073716.615811       0.000000
Rozliczenia_miedzyokresowe_krotkie                          -28363.51           5365956.57           34238.190933       0.000000
pkdKod                                                          111.0               9609.0            5392.302222       0.000000
wsk_liczba_dni_istnienia                                       1182.0              16269.0            4021.008333       0.000000
Aktywa                                                            0.0         417931978.47         6064596.839828       0.000000
Aktywa_trwale                                                 -207.93          376877250.0         4108914.826028       0.000000
Wartosci_niematerialne_prawne                                     0.0            6538808.6           29180.345661       0.000000
Wartosc_firmy                                                     0.0            3569923.8            7274.353183       0.000000
Rzeczowe_aktywa_trwale                                            0.0         296341812.27         1669801.817556       0.000000
Srodki_trwale                                                     0.0         296341812.27         1535715.228233       0.000000
Naleznosci_dlugoterminowe                                         0.0          58532693.49           74587.340956       0.000000
Inwestycje_dlugoterminowe                                         0.0          376877250.0         2083540.032189       0.000000
Rozliczenia_miedzyokresowe_dlugie                                 0.0           4522720.04            25598.62075       0.000000
Aktywa_obrotowe                                                   0.0         220123394.37         1945949.963061       0.000000
Zapasy                                                            0.0          28927172.84          395827.997528       0.000000
Naleznosci_krotkoterminowe                                        0.0          261833012.0          877984.886006       0.000000
Naleznosci_dostaw_uslug_12m_powiazane                             0.0          10072352.28           45196.946456       0.000000
Naleznosci_dostaw_uslug_pow12m_powiazane                          0.0            514009.59             400.039122       0.000000
Naleznosci_dostaw_uslug_12m_kapitale                              0.0            3802462.4            5917.330439       0.000000
Naleznosci_dostaw_uslug_pow12m_kapitale                           0.0           2311800.62            1351.691017       0.000000
Naleznosci_dostaw_uslug_12m_pozostale                             0.0            9953978.7          264338.025267       0.000000
Naleznosci_dostaw_uslug_pow12m_pozostale                          0.0           1046581.99            2109.784661       0.000000
Naleznosci_dostaw_uslug_pozostale_sadowe                          0.0           1408801.03            2125.627517       0.000000
Inwestycje_krotkoterminowe                                        0.0         205874216.35          714798.106044       0.000000
Srodki_pieniezne                                                  0.0          29084053.03          442127.660106       0.000000
Inne_rozliczenia_miedzyokresowe_dlugie                            0.0         215213366.75          222898.759706       0.000000
Naleznosci_dostaw_uslug_12m                                       0.0           6724765.26           89039.270222       0.000000
wsk_ebitda_aktywa_2                                          -23.0239            5371.2003               3.953446       0.000000
wsk_zwrot_aktywa_trwale                                  -398479.5654          340127.4156            2990.757102       0.000000
wsk_marza_brutto_1                                      -61959.666667            5329.5019            -122.995503       0.000000
wsk_marza_brutto_2                                         -8228.4748          221899.5814             142.509657       0.000000
wsk_stopa_marzy_brutto                                     -6229.9079              93901.0              39.848139       0.000000
wsk_rent_operacyjna                                        -976239.25              93901.0           -1519.093138       0.000000
wsk_ROS                                                    -8781.0493          179768.9427              96.407936       0.000000
wsk_ROA                                                      -31.2133            2568.7257               2.031479       0.000000
wsk_s_ROA                                                    -31.2133          2570.358417               2.066162       0.000000
wsk_rent_operacyjna_aktywow                                  -23.0239            50873.633               32.24547       0.000000
wsk_ROE                                                   -101.234698            4610.6929               3.811426       0.000000
wsk_s_ROE                                                 -101.234698            4610.6929               3.810796       0.000000
wsk_mnoznik_kap_wl                                          -8.227154              50000.0              81.274929       0.000000
wsk_rent_kaptial_podstawowy                               -936.861146           20651.9076              38.816357       0.000000
Naleznosci_dostaw_uslug_pow12m                                    0.0            1120898.8            1935.258306       0.000000
wsk_akt_generowania_got_1                                    -31.2133            3236.4857               2.531422       0.000000
wsk_rent_sprzedazy                                         -8781.0493          179768.9427              96.407936       0.000000
wsk_ebit                                                 -36604689.35          35239866.59          287408.204244       0.000000
wsk_ebitda_1                                             -36599889.35          35239866.59          395630.663406       0.000000
wsk_ebitda_2                                             -36599889.35          35239866.59          438522.327722       0.000000
wsk_ebitda_3                                             -39843156.54          34012741.56           550825.74475       0.000000
wsk_marza_ebitda_1                                       -7290.442236           222629.093             209.766199       0.000000
wsk_marza_ebitda_2                                      -61959.666667            5329.5019            -101.214141       0.000000
wsk_marza_ebitda_3                                        -17700.0732              93901.0              54.036762       0.000000
wsk_marza_ebit                                           -7290.442236           222629.093              204.36601       0.000000
formaWlasnosci_Symbol                                             0.0                338.0                200.155       0.000000
wsk_Zobowiazania_dlugoterminowe                              -88420.7         272124890.59         1633071.360894       0.000000
wsk_Zobowiazania_krotkoterminowe                                  0.0         200351817.08         1351508.133928       0.000000
wsk_koszty_operacyjne                                             0.0          90089717.74         3038074.127761       0.000000
wsk_amortyzacja                                                   0.0          18672271.95          108222.459161       0.000000
Zobowiazania_dostaw_uslug_12m                                     0.0            8060210.7           73351.773239       0.000000
Zobowiazania_dostaw_uslug_pow12m                                  0.0            1567906.5            1421.523411       0.000000
Kredyty_pozyczki                                                  0.0          31379076.71           62317.969144       0.000000
przychody_sprzedazy                                         -52472.89          39752337.25         2973256.030872       0.000000
koszty_sprzedanych_produktow                                      0.0          33232701.81            270789.0739       0.000000
koszty_sprzedazy                                                  0.0           6366342.39           14962.748794       0.000000
koszty_ogolnego_zarzadu                                           0.0           5795945.98           39167.404911       0.000000
zysk_sprzedazy                                           -19936195.79          25578189.34          397336.801717       0.000000
pozostale_przychody_oper                                    -232964.0          23561485.14          181214.057411       0.000000
dotacje                                                           0.0          14488074.83           30186.643094       0.000000
koszty_operacyjne_pozostale                                       0.0          55283827.23          123916.633328       0.000000
zysk_operacyjny                                          -39847956.54          34012741.56          442603.285589       0.000000
przychody_finansowe                                         -23706.14           22276108.9           79336.243183       0.000000
dywidendy_udzialy                                            -6467.51            5000000.0           12705.021222       0.000000
przychody_odsetki                                             -445.06          12821871.23           17744.299594       0.000000
koszty_finansowe                                                  0.0          19215376.12          109219.896367       0.000000
koszty_odsetki                                                    0.0          14043706.93            55479.63095       0.000000
zysk_brutto                                              -51229323.02          22600344.79          178188.307878       0.000000
podatek_dochodowy                                         -2982122.98            4294706.0            40591.39515       0.000000
zysk_netto                                               -51527363.02          18305638.79          134864.756511       0.000000
koszty_operacyjne                                                 0.0          39215820.12         2480018.370461       0.000000
amortyzacja                                                       0.0          18672271.95           98688.540661       0.000000
przychody                                                   -231964.0          47515874.86         3233806.331467       0.000000
schemat_wsk_rzis_SFJMI                                          False                 True               0.266111       0.000000
